Calendar Group,Event Type Tags,id,Title,Category,Research Topic,Date,Duration,Attendance,Location,Year
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Amy Barger,Science,,10/28/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Steven Federman,Science,,11/4/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Marc Freitag,Science,,11/5/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Pat Hartigan,Science,,11/11/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Christopher Kochanek,Science,,11/13/2003,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Christopher Kochanek,Science,,11/13/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Peter Eggleton,Science,,12/2/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Christopher Deloye,Science,,12/4/2003,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Christopher Deloye,Science,,12/4/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Caty Pilachowski,Science,,12/9/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Asaf Pe'er,Science,,12/12/2003,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Asaf Pe'er,Science,,12/12/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Andrew Lyne,Science,,1/20/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Chris Walker,Science,,1/20/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ricardo Demarco,Science,,2/3/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Vikram Dwarkadas,Science,,2/5/2004,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Vikram Dwarkadas,Science,,2/5/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Thomas Pannuti,Science,,2/10/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Andrea Ghez,Science,,2/17/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Carlo Graziani,Science,,2/24/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jason Prochaska,Science,,3/2/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Deepto Chakrabarty,Science,,3/13/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jason Tumlinson,Science,,3/30/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Sarah Church,Science,,4/20/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Luigi Stella,Science,,4/29/2004,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Luigi Stella,Science,,4/29/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Arieh Konigl,Science,,5/4/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Kinwah Wu,Science,,5/5/2004,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Kinwah Wu,Science,,5/5/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Scott Dodelson,Science,,5/11/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Richard Durisen,Science,,5/18/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Feng Yuan,Science,,5/20/2004,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Feng Yuan,Science,,5/20/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Derek Fox,Science,,5/27/2004,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Derek Fox,Science,,5/27/2004,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Avi Loeb,Science,,9/3/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Eric Ford,Science,,9/23/2004,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Eric Ford,Science,,9/23/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Andrey Kravtsov,Science,,9/28/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Michael Rich,Science,,10/5/2004,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Mike Muno,Science,,10/13/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Nergis Mavalvala,Science,,10/21/2004,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Nergis Mavalvala,Science,,10/22/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Chris DePree,Science,,11/2/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Sara Ellison,Science,,11/9/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tom Abel,Science,,11/12/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mike Muno,Science,,11/13/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ingrid Stairs,Science,,11/16/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Michael Rupen,Science,,11/23/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Daniel Proga,Science,,11/30/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Geoff Bower,Science,,12/8/2004,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Geoff Bower,Science,,12/8/2004,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Gianfranco Bertone,Science,,1/18/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Shiho Kobayashi,Science,,1/19/2005,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Shiho Kobayashi,Science,,1/19/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Bryan Gaensler,Science,,1/25/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Bob Benjamin,Science,,2/3/2005,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Bob Benjamin,Science,,2/4/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Douglas Welch,Science,,2/8/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Richard Crutcher,Science,,2/15/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Dierdre Shoemaker,Science,,2/28/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Andrew Hamilton,Science,,3/8/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Holger Baumgardt,Science,,3/10/2005,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Holger Baumgardt,Science,,3/10/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Rosalba Perna,Science,,3/15/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Hannah Jang-Condell,Science,,3/29/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Carlos Pena-Garay,Science,,4/6/2005,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Carlos Pena-Garay,Science,,4/6/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Joseph Patterson,Science,,4/11/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Barry Barish,Science,,4/20/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Amaya Moro-Martin,Science,,4/27/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,David Neufeld,Science,,5/3/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Scott Ransom,Science,,5/9/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Benjamin McCall,Science,,5/17/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Sera Markoff,Science,,5/24/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Paulo Friere,Science,,5/26/2005,1,20,,2005
CIERA - Special Seminars,Academic Seminars,,Paulo Freire,Science,,5/26/2005,1,20,,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Rocky Kolb,Science,,5/31/2005,1,20,,2005
CIERA - Conferences/Collab Meetings,Conferences,,MODEST-6,Science,Stellar Dynamics & Stellar Populations,8/29/2005,3,98,Evanston,2005
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Greg Sloan,Science,,9/22/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Martin Houde,Science,,9/27/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Phil Kaaret,Science,,10/11/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Josh Winn,Science,,10/14/2005,1,25,,2006
CIERA - Special Seminars,Academic Seminars,,Josh Winn,Science,,10/14/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Clem Pryke,Science,,10/18/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mordecai MacLow,Science,,11/1/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Knox Long,Science,,11/8/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Carl Heiles,Science,,11/15/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Vicky Kaspi,Science,,11/22/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Barbara Whitney,Science,,11/29/2005,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Stratos Boutloukos,Science,,1/10/2006,1,25,,2006
CIERA - Special Seminars,Academic Seminars,,Stratos Boutloukos,Science,,1/10/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tamara Bogdanovic,Science,,1/12/2006,1,25,,2006
CIERA - Special Seminars,Academic Seminars,,Tamara Bogdanovic,Science,,1/12/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Nick Gnedin,Science,,1/17/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Shami Chatterjee,Science,,1/24/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Michela Mapelli,Science,,1/27/2006,1,25,,2006
CIERA - Special Seminars,Academic Seminars,,Michela Mapelli,Science,,1/27/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Alycia Weinberger,Science,,1/31/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,James Truran,Science,,2/14/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Kayhan Gultekin,Science,,2/16/2006,1,25,,2006
CIERA - Special Seminars,Academic Seminars,,Kayhan Gultekin,Science,,2/17/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Dave Strickland,Science,,2/21/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mark Krumholz,Science,,3/8/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Monica Valluri,Science,,3/16/2006,1,25,,2006
CIERA - Special Seminars,Academic Seminars,,Monica Valluri,Science,,3/16/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Re'em Sari,Science,,3/29/2006,1,25,,2006
CIERA - Special Seminars,Academic Seminars,,Re'em Sari,Science,,3/29/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Richard Lovelace,Science,,4/11/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Alex Wolszczan,Science,,4/18/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mike A'Hearn,Science,,4/25/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Riccardo Giovanelli,Science,,5/2/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Robert Millis,Science,,5/4/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Alex Lazarian,Science,,5/9/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Yanqin Wu,Science,,5/11/2006,1,25,,2006
CIERA - Special Seminars,Academic Seminars,,Yanqin Wu,Science,,5/11/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Daniel Chung,Science,,5/16/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Andrew Youdin,Science,,5/23/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Darek Lis,Science,,5/30/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Pau Amaro-Seoane,Science,,7/25/2006,1,25,,2006
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Stephan Meyer,Science,,9/26/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Alberto Vecchio,Science,,9/30/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Stanislav Boldyrev,Science,,10/3/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tiziana Di Matteo,Science,,10/10/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Michael Eracleous,Science,,10/11/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Stan Peale,Science,,10/23/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tal Alexander,Science,,10/25/2006,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Tal Alexander,Science,,10/25/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Matthew Bailes,Science,,10/26/2006,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Matthew Bailes,Science,,10/26/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Snezana Stanimirovic,Science,,10/31/2006,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Loren Hoffman,Science,,11/2/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Loren Hoffman,Science,,11/3/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Marta Volonteri,Science,,11/14/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ed Thommes,Science,,11/14/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jennifer Hoffman,Science,,11/15/2006,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Ed Thommes,Science,,11/15/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Hiroshi Matsuo,Science,,11/28/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Natasha Ivanova,Science,,12/10/2006,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Richard Edgar,Science,,1/11/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Richard Edgar,Science,,1/12/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Avery Broderick,Science,,1/18/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Avery Broderick,Science,,1/18/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,James de Buizer,Science,,1/20/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Dan Marrone,Science,,1/23/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Kristen Menou,Science,,1/30/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Stelios Kazantzidis,Science,,2/1/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Stelios Kazantzidis,Science,,2/1/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ilya Mandel,Science,,2/9/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Ilya Mandel,Science,,2/9/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Nuria Calvet,Science,,2/13/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Shri Kulkarni,Science,,2/15/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Shri Kulkarni,Science,,2/15/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Seth Redfield,Science,,2/20/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jimmy Irwin,Science,,2/27/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Vasiliki Pavlidou,Science,,3/1/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Vasiliki Pavlidou,Science,,3/1/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Eric Becklin,Science,,3/5/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mario Juric,Science,,3/15/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Mario Juric,Science,,3/15/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Leo Blitz,Science,,3/27/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Kostas Tassis,Science,,3/29/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Kostas Tassis,Science,,3/29/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,David Charbonneau,Science,,4/4/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,John Beacom,Science,,4/17/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Debra Fischer,Science,,4/24/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Gregory Sivakoff,Science,,4/26/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Gregory Sivakoff,Science,,4/26/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mary Putman,Science,,5/1/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Steinn Sigurdsson,Science,,5/1/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jason Steffen,Science,,5/3/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Jason Steffen,Science,,5/3/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Hiranya Peiris,Science,,5/8/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Steinn Sigurdsson,Science,,5/14/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jonathan Tan,Science,,5/15/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Stephen Zepf,Science,,5/17/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Stephen Zepf,Science,,5/17/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Dan Watson,Science,,5/22/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ben Owen,Science,,5/26/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Ben Owen,Science,,5/26/2007,1,25,,2007
CIERA - Special Seminars,Academic Seminars,,Ashley Ruiter,Science,,5/27/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ashley Ruiter,Science,,5/28/2007,1,25,,2007
CIERA - Conferences/Collab Meetings,Conferences,,Extreme Solar Systems International Conference,Science,Exoplanets & the Solar System,6/25/2007,5,195,"Santorini, Greece",2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mark Wardle,Science,,7/31/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Milind Diwan,Science,,8/3/2007,1,25,,2007
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Fritz Benedict,Science,,10/2/2007,1,25,,2008
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Saul Rappaport,Science,,10/8/2007,1,25,,2008
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Paul Goldsmith,Science,,10/16/2007,1,25,,2008
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ilya Mandel,Science,,10/23/2007,1,25,,2008
